asset_id,bucket_path,classification,rights_status,rights_holder,license,attribution_required,alt_state,alt_current,width,height,duplicate,production_eligible,decision
2f749dc4-64c9-414a-a61d-5faa9a1f1ba6,demo-media/destinations/hero_valladolid.jpg,DEMO,demo,Valladolid.mx (semilla generada),demo-internal-temporary,false,real,"Plaza principal colonial de Valladolid, Yucatan al atardecer",1536,1024,none,false,keep-demo-marked-temporary
3ebc51c1-2495-4720-bfd6-f239ed647d12,demo-media/destinations/hero_izamal.jpg,DEMO,demo,Valladolid.mx (semilla generada),demo-internal-temporary,false,real,Convento de San Antonio de Padua en Izamal,1536,1024,none,false,keep-demo-marked-temporary
dc0db06f-c25d-4531-ac45-444a5b2c65fe,demo-media/destinations/hero_ek_balam.jpg,DEMO,demo,Valladolid.mx (semilla generada),demo-internal-temporary,false,real,Acropolis maya de Ek Balam,1536,1024,none,false,keep-demo-marked-temporary
793b019e-db39-484a-bad4-3afe864c4fb9,demo-media/destinations/hero_las_coloradas.jpg,DEMO,demo,Valladolid.mx (semilla generada),demo-internal-temporary,false,real,Piscinas rosadas de Las Coloradas,1536,1024,none,false,keep-demo-marked-temporary
726a89e4-2378-47ff-b509-b574a5c9fb38,demo-media/destinations/hero_rio_lagartos.jpg,DEMO,demo,Valladolid.mx (semilla generada),demo-internal-temporary,false,real,Colonia de flamencos rosados en Rio Lagartos,1536,1024,none,false,keep-demo-marked-temporary
ca85ba07-8fee-4a57-ab0f-6d3e17b27d0f,demo-media/destinations/hero_uayma.jpg,DEMO,demo,Valladolid.mx (semilla generada),demo-internal-temporary,false,real,Fachada barroca roja y blanca de la iglesia de Uayma,1536,1024,none,false,keep-demo-marked-temporary
cb8ccb0d-60de-4d37-b178-7802f6d39b24,companies/5555-0002/85b97f6a.jpg,REAL_UNGOVERNED,pending_owner,Empresa titular de la ficha (por confirmar),pending,pending,filename,85B97F6A.jpeg,,,none,false,request-rights-and-human-alt
57a401dc-68d3-456f-87ba-f5196070376b,destinations/1111-0001/img_6663.jpg,REAL_UNGOVERNED,pending_owner,Valladolid.mx (autoria por confirmar),pending,pending,filename,IMG_6663.jpeg,,,none,false,request-rights-and-human-alt
5f614350-1347-4500-8489-5f84ff36f09e,studio-media/2026/bg01.jpg,REAL_UNGOVERNED,pending_owner,Valladolid.mx (fondo editorial, por confirmar),pending,pending,missing,,,,src/assets/brand/hero/bg01.webp,false,request-rights-human-alt-and-resolve-duplicate
1c276d54-7bab-4b36-9b85-5e70d6fe8e01,studio-media/2026/bg02.jpg,REAL_UNGOVERNED,pending_owner,Valladolid.mx (fondo editorial, por confirmar),pending,pending,missing,,,,src/assets/brand/hero/bg02.webp,false,request-rights-human-alt-and-resolve-duplicate
642cb15f-0a13-410c-8027-c4ab92034bf5,media-original/pilot-v11/vertical-2400h.jpg,TECHNICAL,technical,Valladolid.mx (benchmark interno),internal-pipeline,false,not-applicable,,1600,2400,none,false,exclude-from-editorial-surfaces
